"","Fish_ID_Revised","Fish_ID","GillClip_ID_Revised","GillClip_ID","Collection_Date","Processing_Date","Col_Location_Lat","Col_Location_Long","site","Fish_Wt","Fish_Leng_1","Fish_Leng_1_tape","Fish_Leng_2","Fish_Leng_2_tape","Fish_Ht","Fish_Ht_tape","Fish_Wdth","Fish_Grth","Sex","Gonad_Wt","DWP.","Fem_Fecun_1_num","Fem_Fecun_1_wt","Fem_Fecun_2_num","Fem_Fecun_2_wt","Fem_Fecun_3_num","Fem_Fecun_3_wt","Fem_Egg_Sz_1","Fem_Egg_Sz_2","Fem_Egg_Sz_3","Carcass.guts_Wt","Oto_Well_ID","Strontium_marked_Y.N","Scales_Y.N","Scales_num","Fish_Ground_Y.N","Gonad_Saved_Y.N","Gonad_Saved_wt","Fat_Meter_1._L","Fat_Meter_1._R","Fat_Meter_2._L","Fat_Meter_2._R","Fat_Meter_3._L","Fat_Meter_3._R","Fat_Meter_4._L","Fat_Meter_4._R","Dissect_Comments","Date_LabDryStart","Fish.BagWt_g","Date_LabDryFinal","DryFish.BagWt_g","Pwater","Pdry","Dry_Comments","Date_BCProcess","Bomb_ID_1","Bomb_PelletWt_g_1","EE_Value_1","EnergyDensity_mJ.kg_1","EnergyPDry_2","Bomb_ID_2","Bomb_PelletWt_g_2","EE_value_2","EnergyDensity_mJ.kg_2","EnergyPDry_2.1","Bomb_ID_3","Bomb_PelletWt_g_3","EE_value_3","EnergyDensity_mJ.kg_3","EnergyPDry_3","Bomb_ID_4","Bomb_PelletWt_g_4","EE_value_4","EnergyDensity_mJ.kg_4","EnergyPDry_4","BC_comments"
"82","MN-1-2019","MN1-2019","MN-1-19","MN1","7/26/2019","8/5/2019",62.94958,-143.35984,"MN",2.256,44.3,46.7,8.1,9.8,13.5,15,5.3,32.3,"M",0.018,"N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.164,"1-E2","N","Y",5,"Y","Y",0.008,0.4,0.4,0.4,0.4,0.5,0.4,0.6,0.4,"POST SPAWNER, GONADS MOSTLY EMPTY","11/10/2019",147,"11/25/2019",26.2,"0.8218","0.1782","TOOK SAMPLES OFF TO THAW FREEZE DRIER THEN PUT BACK ON","12/1/2019",4,0.4985,923.3249,20.0086,3.566158639,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"83","MN-2-2019","MN2-2019","MN-2-19","MN2","7/26/2019","8/5/2019",62.94958,-143.35984,"MN",2.52,45.2,48.6,8.6,9.4,14.3,15.9,5.7,32.8,"M",0.022,"N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1-E3","N","Y",5,"Y","Y",0.014,0.4,0.7,0.5,0.4,0.5,0.4,0.6,0.4,"","11/15/2019",123,"11/21/2019",22.8,"0.8146","0.1854","","12/11/2019",2,0.3264,923.1981,20.3689,3.775698537,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"84","MN-3-2019","MN3-2019","MN-3-19","MN3","7/26/2019","8/5/2019",62.94958,-143.35984,"MN",2.1,45.1,45.8,7.2,8.1,12.8,14.9,5.6,32.4,"M",0.018,"N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.974,"1-E7","N","Y",5,"Y","Y",0.008,0.5,0.5,0.5,0.4,0.4,0.4,0.5,0.5,"PARTIAL SPAWNER","11/15/2019",145,"11/21/2019",28.9,"0.8007","0.1993","","12/11/2019",4,0.3084,923.3249,21.4914,4.283458345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"85","MN-4-2019","MN4-2019","MN-4-19","MN4","7/26/2019","8/5/2019",62.94958,-143.35984,"MN",2.368,45.5,46.4,6.9,7.7,14.1,15.6,5.7,33.1,"M",0.058,"N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.168,"1-E8","N","Y",5,"Y","Y",0.026,0.4,0.5,0.4,0.4,0.4,0.5,0.4,0.5,"","11/15/2019",93.5,"11/21/2019",18.8,"0.7989","0.2011","","12/11/2019",2,0.2499,923.1981,20.6084,4.14372107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"86","MN-5-2019","MN5-2019","MN-5-19","MN5","7/26/2019","8/5/2019",62.94958,-143.35984,"MN",2.428,46.3,48.5,7.9,8.4,12.8,13.9,5.5,32.5,"M",0.062,"N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.268,"1-E6","N","Y",5,"Y","Y",0.034,0.5,0.7,0.6,0.4,0.4,0.4,0.7,0.5,"PARTIAL SPAWNER","11/15/2019",93.8,"11/21/2019",17.9,"0.8092","0.1908","","12/11/2019",4,0.4327,923.3249,20.2265,3.859854478,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"87","MN-6-2019","MN6-2019","MN-6-19","MN6","7/26/2019","8/6/2019",62.94958,-143.35984,"MN",1.416,45.7,50.7,4.1,5.5,9.2,11.7,4.3,22.2,"F",NA,"N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.304,"1-E9","Y","Y",5,"Y","N",NA,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,"EMPTY SKEINS","11/15/2019",108.5,"11/21/2019",20.9,"0.8074","0.1926","","12/11/2019",2,0.3509,923.1981,18.6986,3.601850138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"88","MN-7-2019","MN7-2019","MN-7-19","MN7","7/26/2019","8/7/2019",62.94958,-143.35984,"MN",1.52,42.9,44.3,4.2,4.6,10.3,11.5,5.4,25.1,"F",NA,"N/A",32,3.3782,NA,NA,NA,NA,5,NA,NA,1.311,"1-G10","N","Y",5,"Y","N",NA,0.7,0.8,0.7,0.7,0.6,0.7,0.7,0.8,"SKEIN RUPTURED AND FILLING BODY WITH LOOSE EGGS. LIKELY PARTIAL SPAWNER","11/15/2019",154.8,"11/21/2019",35.3,"0.7720","0.2280","","12/11/2019",4,0.2732,923.3249,21.3669,4.872426163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"89","MN-8-2019","MN8-2019","MN-8-19","MN8","7/26/2019","8/6/2019",62.94958,-143.35984,"MN",1.184,43.7,42.4,4.1,4.4,8.5,10.5,3.9,21.2,"F",NA,"N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.102,"1-F9","N","Y",5,"Y","N",NA,0.5,0.5,0.4,0.4,0.5,0.4,0.3,0.4,"SKEINS EMPTY, POST SPAWNER","11/15/2019",132.1,"11/21/2019",26.5,"0.7994","0.2006","","12/11/2019",2,0.3799,923.1981,20.1708,4.046375473,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"90","MN-9-2019","MN9-2019","MN-9-19","MN9","7/26/2019","8/6/2019",62.94958,-143.35984,"MN",1.46,45.7,47.1,4.7,5.7,9.5,13.2,4.4,24.6,"F",NA,"N/A",40,4.8765,NA,NA,NA,NA,5.6,NA,NA,1.276,"1-F1","N","Y",NA,"Y","N",NA,0.6,0.4,0.5,0.5,0.5,0.6,0.5,0.5,"SKEINS RUPTURED, EGGS LOOSE, PARTIAL SPAWNER","11/15/2019",117.9,"11/21/2019",24.2,"0.7947","0.2053","","12/11/2019",4,0.3879,923.3249,21.2445,4.360618321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"91","MN-10-2019","MN10-2019","MN-10-19","MN10","7/26/2019","8/6/2019",62.94958,-143.35984,"MN",1.36,40.7,42.1,4.5,4.9,6.5,11.2,4.1,24.2,"F",NA,"N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.23,"1-E12","N","Y",5,"Y","N",NA,0.5,0.4,0.5,0.5,0.5,0.5,0.9,0.7,"SKEINS EMPTY, NO EGGS TO MEASURE","11/15/2019",99.9,"11/21/2019",20.7,"0.7928","0.2072","","12/18/2019",4,0.3387,923.3249,21.1605,4.384608108,2,0.3936,923.1981,21.2794,NA,4,0.4564,923.3249,20.7673,4.303134234,NA,NA,NA,NA,NA,""
