"unique_id","site","species","fluidigm_num","tray","run_by","scored_by","tissue","lod_applied","Arena1","arena2","ascv","Bafini_b","c_b_cys","ce_sha","Circo.virus","cov","ctv","de_sal","fa_mar","fl_psy","Hantavirus","hkg","hkg_r","ic_hof","ic_mul","IcD","ihnv","lo_sal","my_arc","my_ins","na_sal","ne_per","Nido2_a","pa_kab","pa_min","pa_pse","pa_ther","Picorna2_virus","pisck_sal","prv","pspv","Qin","reov","Rhabdo3_virus","rlo","Salmovirus","sch","smallUK","sp_des","te_bry","te_mar","toti","ven","vhsv","vi_ang","vi_sal"
"2019-0046-118-GK18","GK","Sockeye","GK18",4010,"KK","KK","Gill",TRUE,0,0,0,NA,1422295.276,0,NA,0,0,0,0,7672.937162,NA,3.67e-42,3.67e-42,0,0,NA,219.7906812,22132.76379,0,0,0,0,NA,0,0,0,0,NA,0,0,0,NA,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0
"2019-0046-118-GK19","GK","Sockeye","GK19",4010,"KK","KK","Gill",TRUE,0,0,0,NA,2353338.199,0,NA,0,0,0,0,3937.8288,NA,1.17e-44,1.17e-44,0,0,NA,15.26687952,305.5816025,0,0,0,0,NA,0,0,0,0,NA,0,0,0,NA,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0
"2019-0046-118-GK2","GK","Sockeye","GK2",4010,"KK","KK","Gill",TRUE,0,0,0,NA,97789.84521,0,NA,0,0,0,0,20765.79581,NA,1.78e-39,1.78e-39,0,0,NA,0,393.4007308,0,0,0,0,NA,0,0,0,0,NA,0,0,0,NA,0,NA,0,NA,0,0,0,1513.222061,0,0,0,0,0,0
"2019-0046-118-GK3","GK","Sockeye","GK3",4010,"KK","KK","Gill",TRUE,0,0,0,NA,180563.1278,0,NA,0,0,0,0,11223.17956,NA,3.97e-36,3.97e-36,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,NA,0,NA,0,NA,0,0,0,25985.28482,0,0,0,0,0,0
"2019-0046-118-GK4","GK","Sockeye","GK4",4010,"KK","KK","Gill",TRUE,0,0,0,NA,1004868.686,0,NA,0,0,0,0,3720.209758,NA,5.77e-43,5.77e-43,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,NA,0,NA,0,NA,0,0,0,119785.6363,0,0,0,0,0,0
"2019-0046-118-GK7","GK","Sockeye","GK7",4010,"KK","KK","Gill",TRUE,0,0,0,NA,89859.07354,0,NA,0,0,0,0,663.6528493,NA,1.13e-38,1.13e-38,0,0,NA,37.96462753,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,NA,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0
"2019-0046-118-GK8","GK","Sockeye","GK8",4010,"KK","KK","Gill",TRUE,0,0,0,NA,3613956.111,0,NA,0,0,0,0,49594.00446,NA,3.05e-43,3.05e-43,0,0,NA,0,156460.4559,0,0,0,0,NA,0,0,0,0,NA,0,0,0,NA,0,NA,0,NA,0,0,0,8132.343603,0,0,0,0,0,0
"2019-0046-118-GK9","GK","Sockeye","GK9",4010,"KK","KK","Gill",TRUE,0,0,0,NA,657796.0703,0,NA,0,0,0,0,6374.894851,NA,4.04e-39,4.04e-39,0,0,NA,0,4231043.436,0,0,0,0,NA,0,0,0,0,NA,0,0,0,NA,0,NA,0,NA,0,0,0,54610.31604,0,0,0,0,0,0
"2019-0046-118-LL10","LL","Sockeye","LL10",4010,"KK","KK","Gill",TRUE,0,0,0,NA,4975.341497,0,NA,0,0,0,0,1869.37192,NA,1.79e-38,1.79e-38,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,NA,0,NA,0,NA,0,0,0,2896.562428,0,0,0,0,0,0
"2019-0046-118-LL2","LL","Sockeye","LL2",4010,"KK","KK","Gill",TRUE,0,0,0,NA,39064.41333,0,NA,0,0,0,0,4580.908954,NA,6.35e-44,6.35e-44,0,0,NA,0,0,0,0,0,0,NA,0,0,26.11761637,0,NA,0,0,0,NA,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0
