Fish_ID_Revised,Fish_ID,GillClip_ID_Revised,GillClip_ID,Collection_Date,RunTimingGroup,Collection_Location,Processing_Date,Col_Location_Lat,Col_Location_Long,Fish_Wt,Fish_Leng_1,Fish_Leng_1_tape,Fish_Leng_2,Fish_Leng_2_tape,Fish_Ht,Fish_Ht_tape,Fish_Wdth,Fish_Grth,Sex,Gonad_Wt,DWP#,Fem_Fecun_1_num,Fem_Fecun_1_wt,Fem_Fecun_2_num,Fem_Fecun_2_wt,Fem_Fecun_3_num,Fem_Fecun_3_wt,Fem_Egg_Sz_1,Fem_Egg_Sz_2,Fem_Egg_Sz_3,Carcass-guts_Wt,Oto_Well_ID,Strontium_marked_Y/N,Scales_Y/N,Scales_num,Fish_Ground_Y/N,Gonad_Saved_Y/N,Gonad_Saved_wt,Fat_Meter_1%_L,Fat_Meter_1%_R,Fat_Meter_2%_L,Fat_Meter_2%_R,Fat_Meter_3%_L,Fat_Meter_3%_R,Fat_Meter_4%_L,Fat_Meter_4%_R,Dissect_Comments,SpawnStatus,Date_LabDryStart,Fish+BagWt_g,Date_LabDryFinal,DryFish+BagWt_g,Pwater,Pdry,Dry_Comments,Date_BCProcess,Bomb_ID_1,Bomb_PelletWt_g_1,EE_Value_1,EnergyDensity_mJ/kg_1,EnergyPDry_1,Bomb_ID_2,Bomb_PelletWt_g_2,EE_value_2,EnergyDensity_mJ/kg_2,EnergyPDry_2,Bomb_ID_3,Bomb_PelletWt_g_3,EE_value_3,EnergyDensity_mJ/kg_3,EnergyPDry_3,Bomb_ID_4,Bomb_PelletWt_g_4,EE_value_4,EnergyDensity_mJ/kg_4,EnergyPDry_4,BC_comments,Collection_RiverMile_m,Elevation_m
SA-3-2020,SA-20-3,SA-3-20,SA-20-3,2020-08-11,,St Anne,9/24/20,61.73953006,-145.9685194,1.688,47.7,,6.1,,12.4,,4,26.6,M,0.016,2-D1,,,,,,,,,,1.54,2-C1,N,Y,,Y,Y,0.008,0.3,0.3,0.4,0.4,0.3,0.6,0.5,0.4,,0,1/23/21,105.5,1/28/21,21.7,0.7943,0.2057,,2/23/21,2,0.4868,955.4635,17.9294,3.687848152,,,,,,,,,,,,,,,,,319020.5225,538
SA-4-2020,SA-20-4,SA-4-20,SA-20-4,2020-08-10,,St Anne,9/29/20,61.73953006,-145.9685194,1.482,43.9,,4.7,,10.6,,3.9,24.1,F,0,"Fin clip: 23(2), post spawn, no eggs",,,,,,,,,,1.406,2-F11,N,Y,5,Y,N,,0.4,0.4,0.3,0.5,0.7,0.5,0.3,0.4,"post spawn, no eggs",2,1/23/21,78.3,1/28/21,14.5,0.8148,0.1852,,2/23/21,4,0.3226,923.3249,20.2953,3.758388889,,,,,,,,,,,,,,,,,319020.5225,538
SA-5-2020,SA-20-5,SA-5-20,SA-20-5,2020-08-11,,St Anne,9/29/20,61.73953006,-145.9685194,1.33,41.7,,5.5,,10.4,,3.7,25.4,F,0,"Fin clip 18(2), post-spawn, just one egg",1,,,,,,5.8,,,1.244,2-F6,N,Y,6,Y,N,,0.8,0.4,0.5,0.5,0.4,0.5,0.4,0.5,"post-spawn, just one egg",2,1/23/21,75.1,1/28/21,14.2,0.8109,0.1891,,2/23/21,2,0.2672,955.4635,20.4194,3.860925166,,,,,,,,,,,,,,,,,319020.5225,538
SA-6-2020,SA-20-6,SA-6-20,SA-20-6,2020-08-11,,St Anne,9/29/20,61.73953006,-145.9685194,1.534,43.4,,4.4,,11.7,,4.7,27,F,0.012,Fin clip 27,1,,,,,,5.7,,,1.446,2-G3,N,Y,5,Y,Y,0.012,0.5,0.7,0.4,0.5,0.4,0.5,0.4,0.5,,0,1/23/21,79.9,1/28/21,16.5,0.7935,0.2065,,2/23/21,4,0.3644,923.3249,21.0183,4.340449937,,,,,,,,,,,,,,,,,319020.5225,538
SA-7-2020,SA-20-7,SA-7-20,SA-20-7,2020-08-11,,St Anne,9/24/20,61.73953006,-145.9685194,2.24,46.9,,8.5,,15.8,,4.9,35,M,0.03,2-D6,,,,,,,,,,2.118,2-C6,N,Y,bad scales,Y,Y,0.016,0.3,0.3,0.3,0.7,0.8,0.3,0.5,0.4,,0,1/23/21,104.2,1/28/21,20.3,0.8052,0.1948,,2/23/21,2,0.3927,955.4635,18.2457,3.554584549,,,,,,,,,,,,,,,,,319020.5225,538
SA-8-2020,SA-20-8,SA-8-20,SA-20-8,2020-08-11,,St Anne,9/26/20,61.73953006,-145.9685194,1.536,44.4,,5.3,,10.6,,4.2,26.2,F,0,"Fin clip, 45 only one single egg, post-spawn",,,,,,,5.75,,,1.392,2-D9,N,Y,5,Y,N,,0.3,0.4,0.3,0.4,0.5,0.5,0.8,0.6,"only one single egg, post-spawn",2,1/23/21,130,1/28/21,24.8,0.8092,0.1908,,2/23/21,4,0.339,923.3249,21.0664,4.018820923,,,,,,,,,,,,,,,,,319020.5225,538
SA-9-2020,SA-20-9,SA-9-20,SA-20-9,2020-08-11,,St Anne,9/28/20,61.73953006,-145.9685194,1.208,42.9,,4.5,,9.9,,3.4,23.5,F,,Fin clip 14(2),,,,,,,,,,1.106,2-F2 one missing,N,Y,6,Y,N,,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,,0,1/23/21,73.4,1/28/21,14.7,0.7997,0.2003,,2/23/21,2,0.4245,955.4635,20.7708,4.159819619,,,,,,,,,,,,,,,,,319020.5225,538
SA-10-2020,SA-20-10,SA-10-20,SA-20-10,2020-08-11,,St Anne,9/24/20,61.73953006,-145.9685194,1.982,44,,7.3,,14.9,,4.8,33,M,0.046,2-C6,,,,,,,,,,1.77,2-B10,N,Y,5,Y,Y,0.026,0.4,0.4,0.3,0.4,0.4,0.4,0.3,0.4,,0,1/23/21,92.2,1/28/21,18.7,0.7972,0.2028,,2/23/21,4,0.5074,923.3249,20.6418,4.18656898,,,,,,,,,,,,,,,,,319020.5225,538
CL-1-2020,CL-20-1,CL-1-20,CL-20-1,2020-09-10,,Copper Lake,9/29/20,62.42724893,-143.4817789,0.916,40.1,,4,,9.1,,3.3,22.2,F,0,"Fin clip 26. Post spawn, no eggs",,,,,,,,,,0.878,2-G2,N,Y,6,Y,N,,,,,,,,,,"Post spawn, no eggs",2,1/23/21,62.1,1/28/21,12,0.8068,0.1932,,2/23/21,2,0.3607,955.4635,17.2754,3.338241546,4,0.2931,923.3249,16.3833,3.165855072,,,,,,,,,,,,472477.8039,930
LL-1-2020,LL-20-1,LL-1-20,LL-20-1,2020-08-31,,Long Lake,9/23/20,61.37920879,-143.30713,2.61,50.4,,8.4,,12.3,,6.2,31,M,0.046,2-A1,,,,,,,,,,2.34,2-A1,N,Y,5,Y,Y,0.026,,,,,,,,,,0,1/15/21,125.3,1/21/21,30.9,0.7534,0.2466,,2/25/21,2,0.3648,923.3249,23.1414,5.706857622,,,,,,,,,,,,,,,,,258602.208,463
LL-2-2020,LL-20-2,LL-2-20,LL-20-2,2020-08-31,,Long Lake,9/26/20,61.37920879,-143.30713,1.732,44.2,,4.7,,11.1,,5.5,27.3,F,0.19,Fin clip 36,,,,,,,5.1,,,1.464,2-C12 one missing,N,Y,6,Y,Y,0.096,0.7,0.7,0.8,0.7,1,0.7,0.9,0.7,,0,1/15/21,120,1/21/21,29.9,0.7508,0.2492,,2/25/21,4,0.4181,923.3249,22.0032,5.482464,,,,,,,,,,,,,,,,,258602.208,463
LL-3-2020,LL-20-3,LL-3-20,LL-20-3,2020-08-31,,Long Lake,9/23/20,61.37920879,-143.30713,2.246,48,,6.9,,11.2,,5.8,29,M,0.054,2-A4,,,,,,,,,,2.076,2-A4,N,Y,6,Y,Y,0.026,0.7,0.7,0.7,0.8,1,0.8,0.6,0.6,,0,1/15/21,146.1,1/21/21,36.2,0.7522,0.2478,,2/25/21,2,0.3852,955.4635,23.2672,5.765042026,,,,,,,,,,,,,,,,,258602.208,463
LL-4-2020,LL-20-4,LL-4-20,LL-20-4,2020-08-31,,Long Lake,9/26/20,61.37920879,-143.30713,2.518,48.9,,7.8,,12,,5.5,29.6,M,0.068,Fin clip 42,,,,,,,,,,2.318,2-D6,N,Y,4,Y,Y,0.034,1.2,0.6,1.6,0.7,0.7,0.7,0.7,0.5,,0,1/15/21,139,1/21/21,33.7,0.7576,0.2424,,2/25/21,2,0.3714,955.4635,23.2971,5.648289712,,,,,,,,,,,,,,,,,258602.208,463
LL-5-2020,LL-20-5,LL-5-20,LL-20-5,2020-08-31,,Long Lake,9/23/20,61.37920879,-143.30713,2.228,46.1,,6.3,,11.5,,6.5,32,M,0.04,N/A,,,,,,,,,,2.032,2-A3,N,Y,5,Y,Y,0.022,1.3,2.1,0.9,1.3,1.2,1.4,1,0.8,,0,1/15/21,122,1/21/21,34.6,0.7164,0.2836,,2/25/21,4,0.3548,923.3249,24.2427,6.875388689,,,,,,,,,,,,,,,,,258602.208,463
LL-6-2020,LL-20-6,LL-6-20,LL-20-6,2020-08-31,,Long Lake,9/26/20,61.37920879,-143.30713,2.28,47.5,,6.3,,11.4,,6.2,29.6,M,0.054,Fin clip 31,,,,,,,,,,2.096,2-C7 one missing,N,Y,5,Y,Y,0.03,2.1,1.2,1.4,1.2,0.8,1.1,1.4,1.1,,0,1/15/21,113.9,1/21/21,36.1,0.6831,0.3169,,2/25/21,2,0.3212,955.4635,25.6287,8.122880334,,,,,,,,,,,,,,,,,258602.208,463
LL-7-2020,LL--20-7,LL-7-20,LL-20-7,2020-08-31,,Long Lake,9/26/20,61.37920879,-143.30713,2.102,47,,4.6,,10.7,,6,27,F,0.15,Fin clip 37,,,,,,,4.7,,,1.852,2-D1,N,Y,7,Y,Y,0.072,1.7,0.8,1.7,1.1,0.9,0.7,1.3,0.8,,0,1/15/21,122.2,1/21/21,32.8,0.7316,0.2684,,2/25/21,4,0.3075,923.3249,23.2044,6.228349591,,,,,,,,,,,,,,,,,258602.208,463
LL-8-2020,LL-20-8,LL-8-20,LL-20-8,2020-08-31,,Long Lake,9/26/20,61.37920879,-143.30713,1.976,48.2,,4.4,,10.7,,5.5,28,F,0.138,Fin clip 39,,,,,,,4.7,,,1.724,2-D3,N,Y,7,Y,Y,0.07,1.3,0.8,1.5,0.7,1.3,0.6,0.9,0.7,,0,1/15/21,118.3,1/21/21,31.2,0.7363,0.2637,,2/25/21,2,0.3495,955.4635,22.4827,5.929503297,,,,,,,,,,,,,,,,,258602.208,463
LL-9-2020,LL-20-9,LL-9-20,LL-20-9,2020-08-31,,Long Lake,9/26/20,61.37920879,-143.30713,1.312,40.5,,3.9,,9.8,,4.7,24.5,F,0.086,Fin clip 32,,,,,,,4.6,,,1.154,2-C8 one missing,N,Y,6,Y,Y,0.044,1.4,1.5,1.3,0.8,2.2,1,0.8,0.7,,0,1/15/21,114.8,1/21/21,30.8,0.7317,0.2683,,2/25/21,4,0.3103,923.3249,22.7512,6.103980488,,,,,,,,,,,,,,,,,258602.208,463
LL-10-2020,LL-20-10,LL-10-20,LL-20-10,2020-08-31,,Long Lake,9/26/20,61.37920879,-143.30713,1.972,45.7,,4.6,,10.4,,6.2,26.4,F,0.132,Fin clip 33,,,,,,,4.3,,,1.748,2-C9,N,Y,7,Y,Y,0.07,2.1,1.4,1.5,1.3,1.5,1,2.1,2.1,,0,1/15/21,101.8,1/21/21,29,0.7151,0.2849,,2/25/21,2,0.2688,955.4635,24.6991,7.036089391,,,,,,,,,,,,,,,,,258602.208,463
