Fish_ID_Revised,Fish_ID,GillClip_ID_Revised,GillClip_ID,Collection_Date,RunTimingGroup,Collection_Location,Processing_Date,Col_Location_Lat,Col_Location_Long,Fish_Wt,Fish_Leng_1,Fish_Leng_1_tape,Fish_Leng_2,Fish_Leng_2_tape,Fish_Ht,Fish_Ht_tape,Fish_Wdth,Fish_Grth,Sex,Gonad_Wt,DWP#,Fem_Fecun_1_num,Fem_Fecun_1_wt,Fem_Fecun_2_num,Fem_Fecun_2_wt,Fem_Fecun_3_num,Fem_Fecun_3_wt,Fem_Egg_Sz_1,Fem_Egg_Sz_2,Fem_Egg_Sz_3,Carcass-guts_Wt,Oto_Well_ID,Strontium_marked_Y/N,Scales_Y/N,Scales_num,Fish_Ground_Y/N,Gonad_Saved_Y/N,Gonad_Saved_wt,Fat_Meter_1%_L,Fat_Meter_1%_R,Fat_Meter_2%_L,Fat_Meter_2%_R,Fat_Meter_3%_L,Fat_Meter_3%_R,Fat_Meter_4%_L,Fat_Meter_4%_R,Dissect_Comments,Date_LabDryStart,Fish+BagWt_g,Date_LabDryFinal,DryFish+BagWt_g,Pwater,Pdry,Dry_Comments,Date_BCProcess,Bomb_ID_1,Bomb_PelletWt_g_1,EE_Value_1,EnergyDensity_mJ/kg_1,EnergyPDry_1,Bomb_ID_2,Bomb_PelletWt_g_2,EE_value_2,EnergyDensity_mJ/kg_2,EnergyPDry_2,Bomb_ID_3,Bomb_PelletWt_g_3,EE_value_3,EnergyDensity_mJ/kg_3,EnergyPDry_3,Bomb_ID_4,Bomb_PelletWt_g_4,EE_value_4,EnergyDensity_mJ/kg_4,EnergyPDry_4,BC_comments
BC-21-2021,BC-21-2021,BC-21-21,BC-L-21,6/18/2021 (BC),Middle,Baird Canyon,6/24/21,60.73831,-144.5687,1.882,44.6,,3.9,,11.6,,7.2,28.5,F,0.166,1-D1,10,0.6253,,,,,4.1,,,1.642,1-C1,N,Y,5,Y,Y,0.066,6.1,7.8,4.6,4.7,1.6,1.7,1,1.2,,9/27/21,122,10/1/21,36.1,0.7041,0.2959,,10/5/21,4,0.3192,923.3249,26.0172,7.698532131,,,,,,,,,,,,,,,,
BC-22-2021,BC-22-2021,BC-22-21,BC-L-22,6/18/2021 (BC),Middle,Baird Canyon,6/25/21,60.73831,-144.5687,2.308,46.1,,5,,12.8,,7.6,31.6,M,0.092,1-E2,,,,,,,,,,2.128,1-C10,N,Y,5,Y,Y,0.05,8,10.3,6.8,10.1,4.6,5,2.3,2.5,,9/27/21,113,10/1/21,39,0.6549,0.3451,,10/5/21,2,0.3678,955.4635,25.918,8.945150442,,,,,,,,,,,,,,,,
BC-23-2021,BC-23-2021,BC-23-21,BC-L-23,6/18/2021 (BC),Middle,Baird Canyon,6/25/21,60.73831,-144.5687,2.256,44.2,,4.5,,13.2,,7.5,32.8,M,0.094,1-E4,,,,,,,,,,2.084,1-C12,N,Y,5,Y,Y,0.048,6,7,7.2,6.4,2.6,1.9,2.9,1.3,,9/27/21,102,10/4/21,32,0.6863,0.3137,,10/5/21,4,0.3031,923.3249,26.0289,8.165929412,,,,,,,,,,,,,,,,
BC-24-2021,BC-24-2021,BC-24-21,BC-L-24,6/18/2021 (BC),Middle,Baird Canyon,6/25/21,60.73831,-144.5687,3.492,51.1,,5.6,,14.6,,8.1,36.9,M,0.074,1-D7,,,,,,,,,,3.276,1-C7,N,Y,5,Y,Y,0.038,8.5,9.5,6.5,8.8,4.4,4.2,2.9,2.1,,9/27/21,115,10/4/21,38.8,0.6626,0.3374,,10/5/21,2,0.5057,955.4635,28.4147,9.586872696,,,,,,,,,,,,,,,,
BC-25-2021,BC-25-2021,BC-25-21,BC-L-25,6/18/2021 (BC),Middle,Baird Canyon,6/25/21,60.73831,-144.5687,2.022,46.2,,4.8,,12.2,,6.7,30,M,0.044,1-E8,,,,,,,,,,1.894,1-D4,N,Y,5,Y,Y,0.022,8.6,10.1,8.5,12.2,4.5,4.5,2.7,4.4,,9/27/21,107,10/4/21,36.8,0.6561,0.3439,,10/5/21,4,0.3928,923.3249,26.7186,9.189200748,,,,,,,,,,,,,,,,
BC-26-2021,BC-26-2021,BC-26-21,BC-L-26,6/18/2021 (BC),Middle,Baird Canyon,6/25/21,60.73831,-144.5687,1.396,37.4,,3.6,,11.4,,6.4,27.3,M,0.086,1-E6,,,,,,,,,,1.262,1-D2,N,Y,5,Y,Y,0.044,6,5.9,3.9,4.7,1.8,1.9,1.1,2,,9/27/21,116,10/4/21,34.2,0.7052,0.2948,,10/5/21,2,0.4059,955.4635,26.1898,7.721475517,,,,,,,,,,,,,,,,
BC-27-2021,BC-27-2021,BC-27-21,BC-L-27,6/18/2021 (BC),Middle,Baird Canyon,6/24/21,60.73831,-144.5687,1.546,40.1,,3,,10.5,,7.2,26.9,F,0.194,1-C5,10,0.859,,,,,5.5,,,1.28,1-B9,N,Y,5,Y,Y,0.09,4.1,5.3,4.5,5.1,4.2,3.2,1.2,1.4,,9/27/21,124,10/1/21,32.9,0.7347,0.2653,,10/5/21,4,0.3167,923.3249,25.0733,6.652512661,,,,,,,,,,,,,,,,
BC-28-2021,BC-28-2021,BC-28-21,BC-L-28,6/18/2021 (BC),Middle,Baird Canyon,6/25/21,60.73831,-144.5687,1.964,44.9,,4.2,,11.7,,7.2,29.7,M,0.066,1-E3,,,,,,,,,,1.822,1-C11,N,Y,5,Y,Y,0.032,9,8,6.4,7.2,2.8,2.7,2.2,2.2,,9/27/21,134,10/4/21,45.9,0.6575,0.3425,,10/5/21,2,0.3182,955.4635,26.7156,9.151089851,,,,,,,,,,,,,,,,
BC-29-2021,BC-29-2021,BC-29-21,BC-L-29,6/18/2021 (BC),Middle,Baird Canyon,6/24/21,60.73831,-144.5687,2.126,45.5,,3.5,,11.8,,6.7,30,F,0.11,1-D4,10,0.401,,,,,4.3,,,1.918,1-C4,N,Y,5,Y,Y,0.048,10.4,11.7,8.4,8.5,4.3,4.3,3.6,4.1,,9/27/21,119,10/1/21,43.1,0.6378,0.3622,,10/5/21,4,0.3067,923.3249,24.0307,8.70355605,,,,,,,,,,,,,,,,
BC-30-2021,BC-30-2021,BC-30-21,BC-L-30,6/18/2021 (BC),Middle,Baird Canyon,6/24/21,60.73831,-144.5687,2.546,49,,4.1,,13.3,,7.9,32.5,F,0.06,1-C8,10,0.5788,,,,,3.9,,,2.352,1-B12,N,Y,5,Y,Y,0.06,15.3,15.7,12.1,13.2,8.9,7.1,4.5,3.4,,9/27/21,101,10/4/21,38.2,0.6218,0.3782,,10/5/21,2,0.2617,955.4635,28.2575,10.6874901,,,,,,,,,,,,,,,,
