"","Fish_ID_Revised","Fish_ID","GillClip_ID_Revised","GillClip_ID","Collection_Date","RunTimingGroup","Collection_Location","Processing_Date","Col_Location_Lat","Col_Location_Long","Fish_Wt","Fish_Leng_1","Fish_Leng_1_tape","Fish_Leng_2","Fish_Leng_2_tape","Fish_Ht","Fish_Ht_tape","Fish_Wdth","Fish_Grth","Sex","Gonad_Wt","DWP.","Fem_Fecun_1_num","Fem_Fecun_1_wt","Fem_Fecun_2_num","Fem_Fecun_2_wt","Fem_Fecun_3_num","Fem_Fecun_3_wt","Fem_Egg_Sz_1","Fem_Egg_Sz_2","Fem_Egg_Sz_3","Carcass.guts_Wt","Oto_Well_ID","Strontium_marked_Y.N","Scales_Y.N","Scales_num","Fish_Ground_Y.N","Gonad_Saved_Y.N","Gonad_Saved_wt","Fat_Meter_1._L","Fat_Meter_1._R","Fat_Meter_2._L","Fat_Meter_2._R","Fat_Meter_3._L","Fat_Meter_3._R","Fat_Meter_4._L","Fat_Meter_4._R","Dissect_Comments","SpawnStatus","Date_LabDryStart","Fish.BagWt_g","Date_LabDryFinal","DryFish.BagWt_g","Pwater","Pdry","Dry_Comments","Date_BCProcess","Bomb_ID_1","Bomb_PelletWt_g_1","EE_Value_1","EnergyDensity_mJ.kg_1","EnergyPDry_1","Bomb_ID_2","Bomb_PelletWt_g_2","EE_value_2","EnergyDensity_mJ.kg_2","EnergyPDry_2","Bomb_ID_3","Bomb_PelletWt_g_3","EE_value_3","EnergyDensity_mJ.kg_3","EnergyPDry_3","Bomb_ID_4","Bomb_PelletWt_g_4","EE_value_4","EnergyDensity_mJ.kg_4","EnergyPDry_4","BC_comments","Collection_RiverMile_m","Elevation_m","Year","Group_Assignment","Fish_Leng_1_mm","Fish_Leng_2_mm","Fish_Ht_mm","Fish_Grth_mm","Fish_Wt_g","bodysize_pc_g_mm"
"26","MN-6-2019","MN6-2019","MN-6-19","MN6","2019-07-26",NA,"Mentasta","8/6/19",62.94958,-143.35984,1.416,45.7,50.7,4.1,5.5,9.2,11.7,4.3,22.2,"F",0,"N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.304,"1-E9","Y","Y","5","Y","N",NA,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,"EMPTY SKEINS",2,"11/15/19",108.5,"11/21/19",20.9,"0.8074","0.1926","","12/11/19",2,0.3509,923.1981,18.6986,3.601850138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,472102.04,678,2019,"Slana",457,41,92,222,1416,-1.69341789951139
"27","MN-7-2019","MN7-2019","MN-7-19","MN7","2019-07-26",NA,"Mentasta","8/7/19",62.94958,-143.35984,1.52,42.9,44.3,4.2,4.6,10.3,11.5,5.4,25.1,"F",0,"N/A",32,3.3782,NA,NA,NA,NA,5,NA,NA,1.311,"1-G10","N","Y","5","Y","N",NA,0.7,0.8,0.7,0.7,0.6,0.7,0.7,0.8,"SKEIN RUPTURED AND FILLING BODY WITH LOOSE EGGS. LIKELY PARTIAL SPAWNER",1,"11/15/19",154.8,"11/21/19",35.3,"0.772","0.228","","12/11/19",4,0.2732,923.3249,21.3669,4.872426163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,472102.04,678,2019,"Slana",429,42,103,251,1520,-1.46445501453886
"28","MN-8-2019","MN8-2019","MN-8-19","MN8","2019-07-26",NA,"Mentasta","8/6/19",62.94958,-143.35984,1.184,43.7,42.4,4.1,4.4,8.5,10.5,3.9,21.2,"F",0,"N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.102,"1-F9","N","Y","5","Y","N",NA,0.5,0.5,0.4,0.4,0.5,0.4,0.3,0.4,"SKEINS EMPTY, POST SPAWNER",2,"11/15/19",132.1,"11/21/19",26.5,"0.7994","0.2006","","12/11/19",2,0.3799,923.1981,20.1708,4.046375473,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,472102.04,678,2019,"Slana",437,41,85,212,1184,-2.38247132481972
"29","MN-9-2019","MN9-2019","MN-9-19","MN9","2019-07-26",NA,"Mentasta","8/6/19",62.94958,-143.35984,1.46,45.7,47.1,4.7,5.7,9.5,13.2,4.4,24.6,"F",0,"N/A",40,4.8765,NA,NA,NA,NA,5.6,NA,NA,1.276,"1-F1","N","Y",NA,"Y","N",NA,0.6,0.4,0.5,0.5,0.5,0.6,0.5,0.5,"SKEINS RUPTURED, EGGS LOOSE, PARTIAL SPAWNER",1,"11/15/19",117.9,"11/21/19",24.2,"0.7947","0.2053","","12/11/19",4,0.3879,923.3249,21.2445,4.360618321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,472102.04,678,2019,"Slana",457,47,95,246,1460,-1.26222331829586
"30","MN-10-2019","MN10-2019","MN-10-19","MN10","2019-07-26",NA,"Mentasta","8/6/19",62.94958,-143.35984,1.36,40.7,42.1,4.5,4.9,6.5,11.2,4.1,24.2,"F",0,"N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.23,"1-E12","N","Y","5","Y","N",NA,0.5,0.4,0.5,0.5,0.5,0.5,0.9,0.7,"SKEINS EMPTY, NO EGGS TO MEASURE",2,"11/15/19",99.9,"11/21/19",20.7,"0.7928","0.2072","","12/18/19",4,0.3387,923.3249,21.1605,4.384608108,2,0.3936,923.1981,21.2794,NA,4,0.4564,923.3249,20.7673,4.303134234,NA,NA,NA,NA,NA,NA,472102.04,678,2019,"Slana",407,45,65,242,1360,-3.02045276894767
"31","SA-1-2019","SA1-2019","SA-1-19","SA1","2019-08-20",NA,"St Anne","9/3/19",61.73953006,-145.9685194,0.978,40.4,41,3,3.8,9.6,9.7,3.7,22.8,"F",0,"N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.932,"2-C10","N","Y","5","Y","N",NA,0.6,0.4,0.4,0.5,0.5,0.5,0.4,0.4,"POST SPAWNER, NO EGGS",2,"12/18/19",51.3,"12/31/19",10.3,"0.7992","0.2008","","2/5/20",2,0.3134,923.1981,20.4384,4.103616374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,319323.05,531,2019,"KlutinaLake",404,30,96,228,978,-2.43081749921109
"32","SA-2-2019","SA2-2019","SA-2-19","SA2","2019-08-20",NA,"St Anne","9/1/19",61.73953006,-145.9685194,1.096,43.4,43.6,4,4.6,8.8,9.2,4.3,21.5,"F",0,"N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.018,"2-B12","N","Y","5","Y","N",NA,0.6,0.6,0.8,0.5,0.8,0.7,0.5,0.5,"POST SPAWNER, SKEINS ARE EMPTY, LARGE TUMOR ATTACHED TO ANTERIOR END OF SWIN BLADDER",2,"12/18/19",125.1,"12/31/19",26.5,"0.7882","0.2118","","2/5/20",4,0.2448,923.3249,19.656,4.163741007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,319323.05,531,2019,"KlutinaLake",434,40,88,215,1096,-2.3097765284244
"33","SA-3-2019","SA3-2019","SA-3-19","SA3","2019-08-20",NA,"St Anne","9/3/19",61.73953006,-145.9685194,1.406,46.1,46.8,3.9,4.2,10.6,10.1,5.4,24.9,"F",0,"N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.328,"2-D5","N","Y","5","Y","N",NA,0.5,0.5,0.4,0.4,0.4,0.5,0.5,0.4,"POST SPAWNER, NO EGGS. ONLY FOUND 1 OTOLITH",2,"12/18/19",89.4,"12/31/19",17.1,"0.8087","0.1913","","2/5/20",2,0.3659,923.1981,20.7438,3.967773826,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,319323.05,531,2019,"KlutinaLake",461,39,106,249,1406,-0.847792069518831
"36","SA-6-2019","SA6-2019","SA-6-19","SA6","2019-08-20",NA,"St Anne","9/1/19",61.73953006,-145.9685194,1.406,42.1,43.4,4.1,4.2,12.3,11.6,4.8,27.5,"F",NA,"N/A",24,3.2682,NA,NA,NA,NA,5.6,NA,NA,1.168,"2-C4","N","Y","5","Y","N",NA,0.6,0.7,0.7,0.4,0.5,0.5,0.7,0.5,"SKEINS NOT IN TACT, LOOSE EGGS IN PLASTIC BAG AND THROUGHOUT ABDOMEN. TOOK ONE SUBSAMPLE.",1,"12/18/19",88,"12/31/19",19.2,"0.7818","0.2182","","2/6/20",2,0.2842,923.1981,19.6437,4.285898182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,319323.05,531,2019,"KlutinaLake",421,41,123,275,1406,-0.710153288391402
"40","SA-10-2019","SA10-2019","SA-10-19","SA10","2019-08-20",NA,"St Anne","9/1/19",61.73953006,-145.9685194,1.998,46.3,48.7,4.5,4.9,12.8,13,6.3,30.5,"F",NA,"N/A",39,5.2551,NA,NA,NA,NA,5.6,NA,NA,1.632,"2-B11","N","Y",NA,"Y","N",NA,0.8,0.4,0.8,0.8,0.5,0.8,0.5,0.6,"SKEIN RUPTURED IN ABDOMINAL CAVITY, LOOSE EGGS EVERYWHERE",3,"12/18/19",61.1,"12/31/19",13.2,"0.784","0.216","","2/6/20",2,0.304,923.1981,19.8186,4.281596072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,319323.05,531,2019,"KlutinaLake",463,45,128,305,1998,0.603049655862342
"46","LL-6-2019","LL6-2019","LL-6-19","LL6","2019-08-24",NA,"Long Lake","9/4/19",61.37920879,-143.30713,1.534,42.6,43.2,2.9,3.5,10.8,9.7,6.1,25.8,"F",0.112,"N/A",25,2.1693,23,2.1491,27,2.2968,4,4.2,4.4,1.37,"2-F3","N","Y","5","Y","Y",0.05,2.1,1.8,1.3,1.3,1.4,0.9,0.8,0.8,"FM IN FIELD RIGHT SIDE 1.7, 1.4, 0.9, 1.0",0,"12/31/19",63.1,"1/20/20",19.2,"0.6957","0.3043","","2/11/20",2,0.2411,923.1981,24.1516,7.348822821,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,258752.38,430,2019,"Chitina",426,29,108,258,1534,-1.27894657236517
"47","LL-7-2019","LL7-2019","LL-7-19","LL7","2019-08-24",NA,"Long Lake","9/4/19",61.37920879,-143.30713,1.72,42.4,44.7,3.2,3.6,11,11.3,6.4,28.6,"F",0.158,"N/A",29,2.5475,18,2.2222,31,2.9073,4.4,4.2,4.2,1.482,"2-F5","N","Y","5","Y","Y",0.076,1.7,1.2,1.1,0.9,0.9,0.7,0.9,0.7,"FM IN FIELD 0.8, 0.9, 0.8, 0.7",0,"12/31/19",157.1,"1/20/20",41,"0.739","0.261","","2/11/20",4,0.2477,923.3249,23.935,6.246562699,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,258752.38,430,2019,"Chitina",424,32,110,286,1720,-0.852076323310082
"48","LL-8-2019","LL8-2019","LL-8-19","LL8","2019-08-24",NA,"Long Lake","9/4/19",61.37920879,-143.30713,1.632,43.5,44,3.9,4.3,10.9,10.5,6.2,26.7,"F",0.178,"N/A",28,2.964,31,2.9445,30,2.3721,4.5,4.5,4.6,1.392,"2-F2","N","Y","5","Y","Y",0.096,0.9,0.8,0.7,0.7,0.6,0.7,0.6,0.7,"FIRST TWO FECUNDITY SAMPLES HAD LOTS OF SKEIN ATTACHED. FM IN FIELD 0.8, 0.6, 0.6, 0.6",0,"12/31/19",58.8,"1/20/20",15.5,"0.7364","0.2636","","2/11/20",2,0.2955,923.1981,22.8806,6.03145068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,258752.38,430,2019,"Chitina",435,39,109,267,1632,-0.962070967386919
"49","LL-9-2019","LL9-2019","LL-9-19","LL9","2019-08-24",NA,"Long Lake","9/3/19",61.37920879,-143.30713,1.708,41.7,44.2,3.7,3.7,11,10.8,6.8,27.7,"F",0.14,"N/A",20,2.084,46,3.0428,19,1.418,4.3,4.1,4.2,1.508,"2-C11","N","Y","5","Y","Y",0.07,0.9,1.1,1,0.9,0.8,0.7,1.2,0.9,"FM IN FIELD 0.8, 0.8, 0.7, 0.6",0,"12/31/19",76.3,"1/20/20",20.5,"0.7313","0.2687","","2/11/20",4,0.3102,923.3249,23.2413,6.244385976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,258752.38,430,2019,"Chitina",417,37,110,277,1708,-1.1064111266728
"50","LL-10-2019","LL10-2019","LL-10-19","LL10","2019-08-24",NA,"Long Lake","9/3/19",61.37920879,-143.30713,2.07,46.4,47.3,3.7,4.2,11.4,11.3,7.2,29.3,"F",0.154,"N/A",27,2.2199,23,2.1332,29,2.4411,4.2,4.6,4.3,1.818,"2-E1","N","Y","5","Y","Y",0.066,1.7,1.6,1.7,1.3,1.4,1,1.4,0.8,"PUNCTURE WOULD ON VENTRAL SURFACE. FM IN FIELD 1.4, 1.3, 1.1, 0.8",0,"12/31/19",62.3,"1/20/20",19.3,"0.6902","0.3098","","2/11/20",2,0.3571,923.1981,24.4298,7.568140289,4,0.301,923.3249,25.444,7.882330658,4,0.3863,923.3249,25.2729,7.829325361,NA,NA,NA,NA,NA,NA,258752.38,430,2019,"Chitina",464,37,114,293,2070,0.0638411199612406
"51","MA-1-2019","MA1-2019","MA-1-19","MA1","2019-08-20",NA,"Mahlo","9/4/19",61.73588,-145.7294181,1.644,43.6,45.5,3.8,4.1,12,12.2,7.6,28.6,"F",0.266,"N/A",15,2.4816,20,4.2945,27,4.5288,6.1,6.1,5.9,1.274,"2-E9","N","Y","5","Y","Y",0.108,0.6,0.6,0.5,0.5,0.5,0.5,0.6,0.6,"",0,"12/31/19",89,"1/20/20",19,"0.7865","0.2135","","2/11/20",4,0.4094,923.3249,19.4626,4.154937079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,306987.7,537,2019,"KlutinaLake",436,38,120,286,1644,-0.367637160970328
"53","MA-3-2019","MA3-2019","MA-3-19","MA3","2019-08-20",NA,"Mahlo","9/4/19",61.73588,-145.7294181,1.268,43.7,NA,3.7,NA,10,NA,5.1,NA,"F",0,"N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.192,"2-E11","N","Y","5","Y","N",NA,0.4,0.5,0.5,0.5,0.7,0.7,0.5,0.6,"SPAWNED OUT, NO EGGS. FORGOT TO MEASURE WITH TAPE PRIOR TO CUTTING. ",2,"12/31/19",95.6,"1/20/20",18.4,"0.8075","0.1925","","2/11/20",4,0.3028,923.3249,19.9359,3.837035146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,306987.7,537,2019,"KlutinaLake",437,37,100,245.042661860357,1268,-1.49208572366812
"55","MA-5-2019","MA5-2019","MA-5-19","MA5","2019-08-20",NA,"Mahlo","9/3/19",61.73588,-145.7294181,1.692,41.1,43.4,3.8,3.9,11.8,11.4,7.4,27.4,"F",0.388,"N/A",24,2.9165,29,3.4189,27,3.0407,5.8,5.6,5.4,1.256,"2-D2","N","Y","5","Y","Y",0.178,0.5,0.6,0.6,0.7,0.6,0.5,0.5,0.6,"",0,"12/31/19",105.6,"1/20/20",23.2,"0.7803","0.2197","","2/11/20",4,0.3712,923.3249,21.3028,4.680160606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,306987.7,537,2019,"KlutinaLake",411,38,118,274,1692,-1.03741141383289
"59","MA-9-2019","MA9-2019","MA-9-19","MA9","2019-08-20",NA,"Mahlo","9/3/19",61.73588,-145.7294181,1.02,41.9,42.3,3.3,3.8,8.3,8.7,4.4,20.4,"F",0,"N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.954,"2-D7","N","Y",NA,"Y","N",NA,0.7,0.7,0.4,0.6,0.5,0.8,0.6,0.8,"POST SPAWNER, NO EGGS",2,"2/5/20",106.5,"2/11/20",19.8,"0.8141","0.1859","","2/14/20",4,0.2813,923.3249,18.7054,3.477623662,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,306987.7,537,2019,"KlutinaLake",419,33,83,204,1020,-2.87068136113846
"60","MA-10-2019","MA10-2019","MA-10-19","MA10","2019-08-20",NA,"Mahlo","9/4/19",61.73588,-145.7294181,1.452,43.5,43.4,4.6,4.6,10.7,10.8,4.9,26.1,"F",0,"N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.368,"2-F1","N","Y","5","Y","N",NA,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,"SPAWNED OUT NO EGGS",2,"2/5/20",144.4,"2/11/20",27.5,"0.8096","0.1904","","2/14/20",2,0.4205,923.1981,19.5387,3.721012812,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,306987.7,537,2019,"KlutinaLake",435,46,107,261,1452,-1.10399284789283
"61","TN-1-2019","TNL1-2019","N/A","N/A","2019-09-10",NA,"Tanada","",62.45133,-143.382153,1.502,NA,NA,NA,NA,NA,NA,NA,NA,"F",NA,"N/A",87,6.2576,NA,NA,NA,NA,5.1,NA,NA,1.352,"2-G3","N","Y","5","Y","N",NA,0.7,0.6,0.5,0.4,0.5,0.5,0.5,0.5,"SKEIN LOOSE, EGGS THRIUGHOUT ABDOMEN, UNABLE TO COLLECT SUBSETS",3,"2/5/20",133.3,"2/11/20",34.1,"0.7442","0.2558","","2/14/20",4,0.461,923.3249,23.0119,5.886765116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,472343.24,887,2019,"TanadaCopperLakes",434.851588410204,NA,106.983070455971,261.172467515556,1502,-1.10456006454352
