"","Fish_ID_Revised","Collection_Date","Processing_Date","Col_Location_Lat","Col_Location_Long","site","Fish_Wt","Fish_Leng_1","Fish_Leng_1_tape","Fish_Leng_2","Fish_Leng_2_tape","Fish_Ht","Fish_Ht_tape","Fish_Wdth","Fish_Grth","Sex","Gonad_Wt","Fem_Fecun_1_num","Fem_Fecun_1_wt","Fem_Fecun_2_num","Fem_Fecun_2_wt","Fem_Fecun_3_num","Fem_Fecun_3_wt","Fem_Egg_Sz_1","Fem_Egg_Sz_2","Fem_Egg_Sz_3","Carcass.guts_Wt","Gonad_Saved_wt","Fat_Meter_1._L","Fat_Meter_1._R","Fat_Meter_2._L","Fat_Meter_2._R","Fat_Meter_3._L","Fat_Meter_3._R","Fat_Meter_4._L","Fat_Meter_4._R","Date_LabDryStart","Fish.BagWt_g","Date_LabDryFinal","DryFish.BagWt_g","Pwater","Pdry","Date_BCProcess","Bomb_ID_1","Bomb_PelletWt_g_1","EE_Value_1","EnergyDensity_mJ.kg_1","EnergyPDry_2","Arena1","arena2","ascv","c_b_cys","ce_sha","cov","ctv","de_sal","fa_mar","fl_psy","ic_hof","ic_mul","ihnv","lo_sal","my_arc","my_ins","na_sal","ne_per","pa_kab","pa_min","pa_pse","pa_ther","pisck_sal","prv","pspv","reov","rlo","sch","smallUK","sp_des","te_bry","te_mar","toti","ven","vhsv","vi_ang","vi_sal","path_richness","sc_bodymass","totalE","PC1_scores"
"21","GH-16-2019","8/17/2019","9/3/2019",63.06732669,-145.5138318,"GH",0.738,37.9,39.4,3.4,3.5,7.9,7.4,3.7,18.1,"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,NA,0.4,0.5,0.5,0.5,0.6,0.5,0.5,0.4,"11/10/2019",71,"11/25/2019",15.4,0.7831,0.2169,"12/1/2019",4,0.4056,923.3249,17.4722,3.789744789,0,0,0,1544896.291,0,0,0,0,0,4436270.344,0,0,32613865.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,459.9337015,0,0,0,0,0,0,4,-0.134685785592182,12.8944836,-1.05725108125521
"22","GH-17-2019","8/17/2019","9/4/2019",63.06732669,-145.5138318,"GH",1.234,44.4,45,4.5,4.7,9.9,8.8,4.7,22.4,"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.176,NA,0.6,0.6,0.5,0.8,0.6,0.6,0.7,0.7,"11/10/2019",141.2,"11/25/2019",26.5,0.8123,0.1877,"12/1/2019",2,0.4296,923.1981,19.2209,3.607321884,0,0,0,4252210.649,0,0,0,0,0,311223.551,0,0,18298630.27,28958.7726,0,0,0,0,0,0,1953.494606,0,0,0,0,0,0,0,0,0,3918.493847,0,0,0,0,0,0,6,-0.580635050432475,23.7185906,-1.05917448138143
"23","GH-18-2019","8/17/2019","9/4/2019",63.06732669,-145.5138318,"GH",1.832,47,48.7,4,4.7,12.3,12.1,6.1,27.4,"F",NA,54,5.1436,NA,NA,NA,NA,5.1,NA,NA,1.596,NA,0.8,0.6,0.7,0.6,0.5,0.6,0.5,0.6,"11/10/2019",156.6,"11/25/2019",32.9,0.7899,0.2101,"12/1/2019",4,0.4917,923.3249,20.2046,4.244772286,0,0,0,1422295.276,0,0,0,0,0,7672.937162,0,0,219.7906812,22132.76379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-0.359414756368592,37.0148272,-0.394533667817394
"24","GH-19-2019","8/17/2019","9/3/2019",63.06732669,-145.5138318,"GH",1.792,46.5,47.4,4.2,4.7,10.8,11,5.9,26.9,"F",NA,55,3.5626,NA,NA,NA,NA,4.5,NA,NA,1.618,NA,0.7,0.5,0.5,0.5,0.7,0.5,0.7,0.5,"11/10/2019",130.5,"11/25/2019",27,0.7931,0.2069,"12/1/2019",2,0.4485,923.1981,21.3085,4.408655172,0,0,0,2353338.199,0,0,0,0,0,3937.8288,0,0,15.26687952,305.5816025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-0.326957120611647,38.184832,-0.818107118057655
"25","MN-1-2019","7/26/2019","8/5/2019",62.94958,-143.35984,"MN",2.256,44.3,46.7,8.1,9.8,13.5,15,5.3,32.3,"M",0.018,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.164,0.008,0.4,0.4,0.4,0.4,0.5,0.4,0.6,0.4,"11/10/2019",147,"11/25/2019",26.2,0.8218,0.1782,"12/1/2019",4,0.4985,923.3249,20.0086,3.566158639,0,0,0,1092479.01,0,0,0,0,0,151644.2477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.455856476718914,45.1394016,-1.57835065738117
"26","MN-2-2019","7/26/2019","8/5/2019",62.94958,-143.35984,"MN",2.52,45.2,48.6,8.6,9.4,14.3,15.9,5.7,32.8,"M",0.022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.014,0.4,0.7,0.5,0.4,0.5,0.4,0.6,0.4,"11/15/2019",123,"11/21/2019",22.8,0.8146,0.1854,"12/11/2019",2,0.3264,923.1981,20.3689,3.775698537,0,0,0,167536.3863,0,0,0,0,0,345798.2668,0,0,11030.84188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.589432732356411,51.329628,-0.847461427032791
"27","MN-3-2019","7/26/2019","8/5/2019",62.94958,-143.35984,"MN",2.1,45.1,45.8,7.2,8.1,12.8,14.9,5.6,32.4,"M",0.018,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.974,0.008,0.5,0.5,0.5,0.4,0.4,0.4,0.5,0.5,"11/15/2019",145,"11/21/2019",28.9,0.8007,0.1993,"12/11/2019",4,0.3084,923.3249,21.4914,4.283458345,0,0,0,1153874.991,0,0,0,0,0,926827.3636,0,0,7896.215153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.183924259507801,45.13194,-1.51800945370728
"28","MN-5-2019","7/26/2019","8/5/2019",62.94958,-143.35984,"MN",2.428,46.3,48.5,7.9,8.4,12.8,13.9,5.5,32.5,"M",0.062,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.268,0.034,0.5,0.7,0.6,0.4,0.4,0.4,0.7,0.5,"11/15/2019",93.8,"11/21/2019",17.9,0.8092,0.1908,"12/11/2019",4,0.4327,923.3249,20.2265,3.859854478,0,0,0,769683.5149,0,0,0,0,0,13060.72489,0,0,0,97.48834177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.338025933691132,49.109942,-1.48838329843162
"29","MN-6-2019","7/26/2019","8/6/2019",62.94958,-143.35984,"MN",1.416,45.7,50.7,4.1,5.5,9.2,11.7,4.3,22.2,"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.304,NA,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,"11/15/2019",108.5,"11/21/2019",20.9,0.8074,0.1926,"12/11/2019",2,0.3509,923.1981,18.6986,3.601850138,0,0,0,2100.526139,0,0,0,0,0,406.6407707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-0.587024903400534,26.4772176,-1.4448519647893
"30","MN-7-2019","7/26/2019","8/7/2019",62.94958,-143.35984,"MN",1.52,42.9,44.3,4.2,4.6,10.3,11.5,5.4,25.1,"F",NA,32,3.3782,NA,NA,NA,NA,5,NA,NA,1.311,NA,0.7,0.8,0.7,0.7,0.6,0.7,0.7,0.8,"11/15/2019",154.8,"11/21/2019",35.3,0.772,0.228,"12/11/2019",4,0.2732,923.3249,21.3669,4.872426163,0,0,0,19563.76119,0,0,0,0,0,4513.576927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-0.0772621431616382,32.477688,-0.18897005686882
