"","Fish_ID_Revised","Fish_ID","GillClip_ID_Revised","GillClip_ID","Collection_Date","Processing_Date","Col_Location_Lat","Col_Location_Long","site","Fish_Wt","Fish_Leng_1","Fish_Leng_1_tape","Fish_Leng_2","Fish_Leng_2_tape","Fish_Ht","Fish_Ht_tape","Fish_Wdth","Fish_Grth","Sex","Gonad_Wt","DWP.","Fem_Fecun_1_num","Fem_Fecun_1_wt","Fem_Fecun_2_num","Fem_Fecun_2_wt","Fem_Fecun_3_num","Fem_Fecun_3_wt","Fem_Egg_Sz_1","Fem_Egg_Sz_2","Fem_Egg_Sz_3","Carcass.guts_Wt","Oto_Well_ID","Strontium_marked_Y.N","Scales_Y.N","Scales_num","Fish_Ground_Y.N","Gonad_Saved_Y.N","Gonad_Saved_wt","Fat_Meter_1._L","Fat_Meter_1._R","Fat_Meter_2._L","Fat_Meter_2._R","Fat_Meter_3._L","Fat_Meter_3._R","Fat_Meter_4._L","Fat_Meter_4._R","Dissect_Comments","Date_LabDryStart","Fish.BagWt_g","Date_LabDryFinal","DryFish.BagWt_g","Pwater","Pdry","Dry_Comments","Date_BCProcess","Bomb_ID_1","Bomb_PelletWt_g_1","EE_Value_1","EnergyDensity_mJ.kg_1","EnergyPDry_2","Bomb_ID_2","Bomb_PelletWt_g_2","EE_value_2","EnergyDensity_mJ.kg_2","EnergyPDry_2.1","Bomb_ID_3","Bomb_PelletWt_g_3","EE_value_3","EnergyDensity_mJ.kg_3","EnergyPDry_3","Bomb_ID_4","Bomb_PelletWt_g_4","EE_value_4","EnergyDensity_mJ.kg_4","EnergyPDry_4","BC_comments"
"90","SA-2-2021","SA-2-2021","SA-2-21","SA-2","7/18/2021 (SA)","7/23/2021",61.73953006,-145.96851937,"SA",2.796,48.2,NA,8.3,NA,18.4,NA,6,40.7,"M","0.046","1-F8",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.626,"1-D12","N","Y",5,"Y","Y",0.02,0.4,0.4,0.5,0.4,0.4,0.4,0.5,0.5,"","10/6/2021",118.9,"10/11/2021",23.7,"0.8007","0.1993",NA,"10/12/2021",2,0.2613,955.8343,22.3577,"4.456496972",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","SA-3-2021","SA-3-2021","SA-3-21","SA-3","7/18/2021 (SA)","7/24/2021",61.73953006,-145.96851937,"SA",1.96,45.8,NA,5.6,NA,12.7,NA,6.3,30.2,"F","0.382","2-F5",7,0.8175,NA,NA,NA,NA,5.6,NA,NA,1.538,"1-H9","N","Y",5,"Y","Y",0.176,0.7,0.7,0.7,0.6,0.7,0.6,0.6,0.7,"","10/6/2021",115.6,"10/11/2021",28.6,"0.7526","0.2474",NA,"10/12/2021",4,0.3771,923.3249,22.171,"5.485212803",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","SA-4-2021","SA-4-2021","SA-4-21","SA-4","7/18/2021 (SA)","7/24/2021",61.73953006,-145.96851937,"SA",1.722,44.2,NA,4.5,NA,12.8,NA,6.6,29.8,"F","0.338","2-F6",7,0.9003,NA,NA,NA,NA,5.8,NA,NA,1.34,"1-H10","N","Y",5,"Y","Y",0.056,0.6,0.6,0.8,0.7,0.6,0.7,0.6,1,"","10/6/2021",144.6,"10/11/2021",33.9,"0.7656","0.2344",NA,"10/12/2021",2,0.3161,955.8343,24.4966,"5.742978838",4,0.337,923.3249,23.4965,"5.50851556",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","SA-5-2021","SA-5-2021","SA-5-21","SA-5","7/18/2021 (SA)","7/23/2021",61.73953006,-145.96851937,"SA",2.758,48.7,NA,8.2,NA,17.5,NA,6.4,38.2,"M","0.048","1-F7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1-D11","N","Y",5,"Y","Y",0.026,0.5,0.4,0.6,0.4,0.5,0.5,0.5,0.5,"","10/6/2021",112,"10/11/2021",24.4,"0.7821","0.2179",NA,"10/13/2021",4,0.322,955.8343,21.1558,"4.608942143",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","SA-6-2021","SA-6-2021","SA-6-21","SA-6","7/18/2021 (SA)","7/23/2021",61.73953006,-145.96851937,"SA",3.068,49.1,NA,7.3,NA,17.6,NA,6.7,39.5,"M","0.050","1-F6",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.894,"1-D10","N","Y",5,"Y","Y",0.022,0.6,0.5,0.4,0.5,0.5,0.5,0.5,0.5,"","10/6/2021",116.9,"10/11/2021",26.2,"0.7759","0.2241",NA,"10/13/2021",2,0.2818,923.3249,21.6628,"4.855135672",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","SA-7-2021","SA-7-2021","SA-7-21","SA-7","7/18/2021 (SA)","7/24/2021",61.73953006,-145.96851937,"SA",1.782,44.8,NA,3.8,NA,12.4,NA,6.2,30.1,"F","0.346","3-A3",10,1.2252,NA,NA,NA,NA,5.8,NA,NA,1.382,"2-A3","N","Y",5,"Y","Y",0.126,0.4,0.6,0.4,0.4,0.4,0.5,0.6,1,"","10/6/2021",93.7,"10/11/2021",21.9,"0.7663","0.2337",NA,"10/13/2021",4,0.3286,955.8343,21.604,"5.049387407",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","SA-8-2021","SA-8-2021","SA-8-21","SA-8","7/18/2021 (SA)","7/24/2021",61.73953006,-145.96851937,"SA",1.89,46.2,NA,4,NA,13.1,NA,5.9,30.6,"F","0.352","3-A2",10,0.996,NA,NA,NA,NA,6,NA,NA,1.554,"2-A2","N","Y",5,"Y","Y",0.036,0.8,0.5,0.4,0.4,0.4,0.6,0.5,0.7,"","10/6/2021",78.2,"10/11/2021",18.6,"0.7621","0.2379",NA,"10/13/2021",2,0.36,923.3249,21.2416,"5.052349872",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","SA-9-2021","SA-9-2021","SA-9-21","SA-9","7/18/2021 (SA)","7/23/2021",61.73953006,-145.96851937,"SA",2.686,46.2,NA,8.3,NA,16.8,NA,6.4,36.6,"M","0.050","2-A2",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.498,"1-E2","N","Y",5,"Y","Y",0.022,0.7,0.5,0.6,0.5,0.5,0.5,0.5,0.5,"","10/6/2021",120.9,"10/11/2021",24.3,"0.7990","0.2010",NA,"10/13/2021",4,0.3059,955.8343,23.8329,"4.790235484",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","SA-10-2021","SA-10-2021","SA-10-21","SA-10","7/18/2021 (SA)","7/23/2021",61.73953006,-145.96851937,"SA",2.842,49.5,NA,7,NA,17,NA,6.3,38.7,"M","0.052","2-A1",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7,"1-E1","N","Y",5,"Y","Y",0.022,0.5,0.6,0.5,0.5,0.5,0.5,0.5,0.4,"","10/6/2021",114.1,"10/11/2021",23.8,"0.7914","0.2086",NA,"10/13/2021",2,0.2655,923.3249,22.9338,"4.783737423",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","SA-11-2021","SA-11-2021","SA-11-21","SA-11","8/10/2021 (SA)","9/4/2021",61.73953006,-145.96851937,"SA",0.978,39.5,NA,3.3,NA,9.5,NA,4.5,32.4,"F","","4-A3",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.924,"2-E3","N","Y",5,"Y","N",NA,0.4,0.4,0.5,0.4,0.5,0.4,0.7,0.9,"spawned out completely","10/7/2021",58.2,"10/10/2021",12.9,"0.7784","0.2216",NA,"10/13/2021",4,0.2698,955.8343,20.0721,"4.448970619",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
